"id","name","latitude","longitude"
232,"Southgate",51.6322,-0.128
88,"Epping",51.6937,0.1139
256,"Theydon Bois",51.6717,0.1033
68,"Debden",51.6455,0.0838
158,"Loughton",51.6412,0.0558
37,"Buckhurst Hill",51.6266,0.0471
204,"Pudding Mill Lane",51.5343,-0.0139
233,"Southwark",51.501,-0.1052
41,"Canada Water",51.4982,-0.0502
43,"Canning Town",51.5147,0.0082
183,"North Greenwich",51.5005,0.0039
64,"Cutty Sark",51.4827,-0.0096
106,"Greenwich",51.4781,-0.0149
69,"Deptford Bridge",51.474,-0.0216
86,"Elverson Road",51.4693,-0.0174
152,"Lewisham",51.4657,-0.0142
174,"New Cross",51.4767,-0.0327
175,"New Cross Gate",51.4757,-0.0402
